PLZ,Latitude,Longitude,Bezirk,N_Restaurants
8143,47.3521,8.4875,Bezirk Affoltern,2
8143,47.3258,8.4897,Bezirk Affoltern,2
8906,47.315,8.4684,Bezirk Affoltern,1
8907,47.2695,8.4744,Bezirk Affoltern,1
8908,47.2979,8.4483,Bezirk Affoltern,2
8909,47.2883,8.4312,Bezirk Affoltern,2
8910,47.2774,8.4513,Bezirk Affoltern,7
8911,47.2437,8.4969,Bezirk Affoltern,1
8912,47.2641,8.4215,Bezirk Affoltern,1
8913,47.2823,8.4043,Bezirk Affoltern,3
8914,47.2754,8.4897,Bezirk Affoltern,0
8914,47.2754,8.4897,Bezirk Affoltern,0
8915,47.245,8.533,Bezirk Affoltern,2
8925,47.2264,8.5496,Bezirk Affoltern,2
8926,47.2304,8.4954,Bezirk Affoltern,0
8926,47.2281,8.5273,Bezirk Affoltern,2
8926,47.2215,8.4981,Bezirk Affoltern,1
8932,47.2453,8.4635,Bezirk Affoltern,2
8933,47.2343,8.4271,Bezirk Affoltern,0
8934,47.2235,8.462,Bezirk Affoltern,0
8212,47.6695,8.6079,Bezirk Andelfingen,0
8245,47.6905,8.6436,Bezirk Andelfingen,5
8246,47.684,8.6609,Bezirk Andelfingen,0
8247,47.6839,8.6299,Bezirk Andelfingen,1
8248,47.6707,8.6354,Bezirk Andelfingen,1
8414,47.55,8.6333,Bezirk Andelfingen,0
8415,47.5566,8.6054,Bezirk Andelfingen,0
8415,47.5695,8.5968,Bezirk Andelfingen,1
8416,47.5761,8.6063,Bezirk Andelfingen,4
8444,47.5627,8.6821,Bezirk Andelfingen,0
8447,47.6652,8.6179,Bezirk Andelfingen,1
8450,47.5945,8.6783,Bezirk Andelfingen,3
8451,47.6006,8.6836,Bezirk Andelfingen,0
8452,47.5823,8.6915,Bezirk Andelfingen,1
8453,47.5989,8.6437,Bezirk Andelfingen,0
8457,47.5764,8.6701,Bezirk Andelfingen,0
8458,47.5729,8.6478,Bezirk Andelfingen,0
8459,47.5748,8.6258,Bezirk Andelfingen,0
8460,47.6291,8.6533,Bezirk Andelfingen,0
8461,47.6249,8.6759,Bezirk Andelfingen,0
8462,47.6328,8.6025,Bezirk Andelfingen,0
8463,47.6528,8.6539,Bezirk Andelfingen,1
8464,47.605,8.5992,Bezirk Andelfingen,0
8465,47.6521,8.6766,Bezirk Andelfingen,0
8465,47.6406,8.6743,Bezirk Andelfingen,0
8466,47.6354,8.6892,Bezirk Andelfingen,2
8467,47.6291,8.7272,Bezirk Andelfingen,1
8468,47.6324,8.7685,Bezirk Andelfingen,0
8468,47.622,8.7782,Bezirk Andelfingen,0
8475,47.6118,8.7278,Bezirk Andelfingen,0
8476,47.6392,8.7906,Bezirk Andelfingen,0
8477,47.6324,8.7996,Bezirk Andelfingen,0
8478,47.5782,8.7512,Bezirk Andelfingen,1
8058,47.458,8.5853,Bezirk Bülach,5
8060,47.458,8.5853,Bezirk Bülach,5
8152,47.4315,8.5693,Bezirk Bülach,1
8152,47.4313,8.5627,Bezirk Bülach,3
8152,47.4317,8.5759,Bezirk Bülach,1
8180,47.522,8.5405,Bezirk Bülach,5
8181,47.5075,8.5024,Bezirk Bülach,0
8182,47.5226,8.5156,Bezirk Bülach,2
8184,47.5032,8.5456,Bezirk Bülach,6
8185,47.4919,8.5537,Bezirk Bülach,1
8192,47.5587,8.5017,Bezirk Bülach,1
8192,47.5587,8.5017,Bezirk Bülach,1
8193,47.5774,8.5212,Bezirk Bülach,1
8194,47.5958,8.4912,Bezirk Bülach,1
8195,47.5896,8.4712,Bezirk Bülach,0
8196,47.6045,8.5081,Bezirk Bülach,0
8197,47.6044,8.543,Bezirk Bülach,1
8302,47.4515,8.5849,Bezirk Bülach,12
8303,47.4434,8.6285,Bezirk Bülach,4
8304,47.415,8.5967,Bezirk Bülach,7
8305,47.4183,8.6188,Bezirk Bülach,10
8309,47.4481,8.6491,Bezirk Bülach,1
8424,47.5056,8.5941,Bezirk Bülach,2
8425,47.4878,8.6183,Bezirk Bülach,2
8426,47.4911,8.5943,Bezirk Bülach,1
8427,47.5331,8.5845,Bezirk Bülach,1
8427,47.5309,8.5756,Bezirk Bülach,2
8428,47.5512,8.5657,Bezirk Bülach,0
8105,47.4486,8.4853,Bezirk Dielsdorf,1
8105,47.4341,8.4687,Bezirk Dielsdorf,8
8106,47.4468,8.4664,Bezirk Dielsdorf,3
8107,47.4588,8.4366,Bezirk Dielsdorf,2
8108,47.4397,8.44,Bezirk Dielsdorf,0
8112,47.4605,8.3914,Bezirk Dielsdorf,1
8113,47.4695,8.4061,Bezirk Dielsdorf,2
8114,47.4467,8.4065,Bezirk Dielsdorf,0
8115,47.4426,8.3881,Bezirk Dielsdorf,1
8153,47.4504,8.5299,Bezirk Dielsdorf,2
8154,47.4758,8.519,Bezirk Dielsdorf,2
8155,47.4801,8.4858,Bezirk Dielsdorf,2
8155,47.4668,8.469,Bezirk Dielsdorf,1
8156,47.4657,8.4988,Bezirk Dielsdorf,1
8157,47.4815,8.4585,Bezirk Dielsdorf,4
8158,47.483000000000004,8.4379,Bezirk Dielsdorf,1
8162,47.4971,8.4522,Bezirk Dielsdorf,0
8162,47.4904,8.4369,Bezirk Dielsdorf,0
8164,47.5239,8.4394,Bezirk Dielsdorf,0
8165,47.4975,8.3975,Bezirk Dielsdorf,0
8165,47.5023,8.407,Bezirk Dielsdorf,0
8165,47.5003,8.4175,Bezirk Dielsdorf,1
8166,47.5061,8.3771,Bezirk Dielsdorf,3
8172,47.4907,8.4999,Bezirk Dielsdorf,1
8173,47.511,8.471,Bezirk Dielsdorf,2
8174,47.5294,8.4635,Bezirk Dielsdorf,1
8175,47.5409,8.4738,Bezirk Dielsdorf,0
